"id","compound_public_id","source_type","food_id","food_name","orig_food_common_name","orig_food_scientific_name","orig_source_id","orig_source_name","orig_content_avg","orig_unit","citation","preparation_type"
1179848,12174,"Compound",235,"Red rice","","","","",NA,"","MANUAL",""
1179849,12174,"Compound",236,"Annual wild rice","","","","",NA,"","MANUAL",""
1179850,12174,"Compound",237,"Swiss chard","","","","",NA,"","MANUAL",""
1179851,12174,"Compound",238,"Lemon thyme","","","","",NA,"","MANUAL",""
1179852,12174,"Compound",239,"Tronchuda cabbage","","","","",NA,"","MANUAL",""
1179853,12174,"Compound",240,"Japanese walnut","","","","",NA,"","MANUAL",""
1179854,12174,"Compound",241,"Welsh onion","","","","",NA,"","MANUAL",""
1179855,12174,"Compound",242,"Hard wheat","","","","",NA,"","MANUAL",""
1179856,12174,"Compound",243,"Shallot","","","","",NA,"","MANUAL",""
1179857,12174,"Compound",244,"Rocket salad","","","","",NA,"","MANUAL",""
2195511,12174,"Compound",245,"Carrot","Carrot","","","",NA,"","12926889","raw, frozen"
1179858,12174,"Compound",246,"Triticale","","","","",NA,"","MANUAL",""
1179859,12174,"Compound",247,"Black cabbage","","","","",NA,"","MANUAL",""
1179860,12174,"Compound",248,"Half-highbush blueberry","","","","",NA,"","MANUAL",""
1179861,12174,"Compound",249,"Celery leaves","","","","",NA,"","MANUAL",""
1179862,12174,"Compound",250,"Chicory leaves","","","","",NA,"","MANUAL",""
1179863,12174,"Compound",251,"Komatsuna","","","","",NA,"","MANUAL",""
1179864,12174,"Compound",252,"Pak choy","","","","",NA,"","MANUAL",""
1179865,12174,"Compound",253,"Napa cabbage","","","","",NA,"","MANUAL",""
1179866,12174,"Compound",254,"Chicory roots","","","","",NA,"","MANUAL",""
1179867,12174,"Compound",255,"Grapefruit/Pummelo hybrid","","","","",NA,"","MANUAL",""
1179868,12174,"Compound",256,"Grapefruit","","","","",NA,"","MANUAL",""
1179869,12174,"Compound",257,"Jostaberry","","","","",NA,"","MANUAL",""
1179870,12174,"Compound",258,"Kai-lan","","","","",NA,"","MANUAL",""
1179871,12174,"Compound",259,"Italian oregano","","","","",NA,"","MANUAL",""
1179872,12174,"Compound",260,"Oxheart cabbage","","","","",NA,"","MANUAL",""
1179873,12174,"Compound",261,"Daikon radish","","","","",NA,"","MANUAL",""
1179874,12174,"Compound",262,"Black radish","","","","",NA,"","MANUAL",""
1179875,12174,"Compound",263,"Radish (var.)","","","","",NA,"","MANUAL",""
1179876,12174,"Compound",264,"Red beetroot","","","","",NA,"","MANUAL",""
1179877,12174,"Compound",265,"Sweet rowanberry","","","","",NA,"","MANUAL",""
1179878,12174,"Compound",266,"Pineappple sage","","","","",NA,"","MANUAL",""
1179879,12174,"Compound",267,"Skunk currant","","","","",NA,"","MANUAL",""
2210892,12174,"Compound",268,"Beer","Sour cherry juice-supplemented beer","","","",0,"mg/100g","18673394",""
1179880,12174,"Compound",269,"Other bread","","","","",NA,"","MANUAL",""
1179881,12174,"Compound",270,"Breakfast cereal","","","","",NA,"","MANUAL",""
1179882,12174,"Compound",272,"Other soy product","","","","",NA,"","MANUAL",""
1179883,12174,"Compound",273,"Other cereal product","","","","",NA,"","MANUAL",""
1179884,12174,"Compound",274,"Pasta","","","","",NA,"","MANUAL",""
1179885,12174,"Compound",275,"Biscuit","","","","",NA,"","MANUAL",""
1179886,12174,"Compound",276,"Sourdough","","","","",NA,"","MANUAL",""
1179887,12174,"Compound",280,"Abalone","","","","",NA,"","MANUAL",""
1179888,12174,"Compound",281,"Abiyuch","","","","",NA,"","MANUAL",""
1179889,12174,"Compound",282,"Acerola","","","","",NA,"","MANUAL",""
1179890,12174,"Compound",283,"Acorn","","","","",NA,"","MANUAL",""
1179891,12174,"Compound",284,"Winter squash","","","","",NA,"","MANUAL",""
1179892,12174,"Compound",285,"Agar","","","","",NA,"","MANUAL",""
1179893,12174,"Compound",287,"Alfalfa","","","","",NA,"","MANUAL",""
721550,12174,"Compound",288,"Allspice","","Pimenta dioica","C00000619","Eugenol",NA,"","KNAPSACK","other"
1179894,12174,"Compound",289,"Amaranth","","","","",NA,"","MANUAL",""
1179895,12174,"Compound",290,"Arrowhead","","","","",NA,"","MANUAL",""
1179896,12174,"Compound",291,"Arrowroot","","","","",NA,"","MANUAL",""
1179897,12174,"Compound",292,"Asian pear","","","","",NA,"","MANUAL",""
1179898,12174,"Compound",293,"Atlantic herring","","","","",NA,"","MANUAL",""
1179899,12174,"Compound",298,"Bamboo shoots","","","","",NA,"","MANUAL",""
1179900,12174,"Compound",301,"Beech nut","","","","",NA,"","MANUAL",""
1179901,12174,"Compound",312,"Breadfruit","","","","",NA,"","MANUAL",""
1179902,12174,"Compound",313,"Breadnut tree seed","","","","",NA,"","MANUAL",""
1179903,12174,"Compound",314,"Rapini","","","","",NA,"","MANUAL",""
1179904,12174,"Compound",317,"Burbot","","","","",NA,"","MANUAL",""
1179905,12174,"Compound",318,"Giant butterbur","","","","",NA,"","MANUAL",""
1179906,12174,"Compound",319,"American butterfish","","","","",NA,"","MANUAL",""
1179907,12174,"Compound",320,"Butternut","","","","",NA,"","MANUAL",""
1179908,12174,"Compound",321,"Butternut squash","","","","",NA,"","MANUAL",""
1179909,12174,"Compound",322,"Calabash","","","","",NA,"","MANUAL",""
1179910,12174,"Compound",323,"Cardoon","","","","",NA,"","MANUAL",""
1179911,12174,"Compound",325,"Natal plum","","","","",NA,"","MANUAL",""
1179912,12174,"Compound",326,"Carob","","","","",NA,"","MANUAL",""
1179913,12174,"Compound",328,"Cassava","","","","",NA,"","MANUAL",""
1179914,12174,"Compound",330,"Chayote","","","","",NA,"","MANUAL",""
1179915,12174,"Compound",331,"Cherimoya","","","","",NA,"","MANUAL",""
1179916,12174,"Compound",332,"Chervil","","","","",NA,"","MANUAL",""
1179917,12174,"Compound",333,"Chia","","","","",NA,"","MANUAL",""
1179918,12174,"Compound",335,"Chinese broccoli","","","","",NA,"","MANUAL",""
1179919,12174,"Compound",336,"Chinese chestnut","","","","",NA,"","MANUAL",""
