"klass","subklass","compound_public_id","compound_name","directparent","component"
"Flavonoids","Flavonoid glycosides","FDB002614","Delphinidin 3,5-diglucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB002748","Pelargonidin 3-glucoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB002754","Peonidin 3,5-diglucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB002756","Petunin","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB005809","Cyanidin 3-(caffeoyl-sophoroside) 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB005810","Cyanidin 3-dicaffeoyl-sophoroside 5-glucoside","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB005940","Cyanidin 3-glucosyl-rutinoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB005942","Cyanidin 3-triglucoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB006531","Malvidin 3,5-diglucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB006804","Pelargonidin 3,5-di-O-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB006897","Cyanidin 3-xylosyl-rutinoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB007035","Cyanidin 3-O-(6-trans-p-coumaroyl-2-O-beta-D-xylopyranosyl)-beta-D-glucopyranoside","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB007413","Cyanidin 3-O-alpha-L-arabinoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB007424","Malvidin 3-alpha-L-galactoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB007581","Malvidin 3-caffeoyl-glucoside","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB007659","Cyanidin 3-galactoside p-coumaric acid ester","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB007982","Cyanidin 3,5-digalactoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB007983","Cyanidin 3-(sinapoyl-xylosyl-glucosyl)-galactoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB011782","Pelargonidin 3-sophoroside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB011785","Pelargonidin 3-galactoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB011790","Pelargonidin 3-sophoroside 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB011792","Pelargonidin 3-(2gluglucosylrutinoside)","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB011848","Cyanidin 3-O-[4-Hydroxycinnamoyl-(->6)-[4-hydroxy-3,5-dimethoxycinnamoyl-(->2)-b-D-glucopyranosyl-(1->2)]-b-D-glucopyranoside] 5-O-(6-O-malonyl-b-D-glucopyranoside)","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB011849","Cyanidin 3-O-[[4-Hydroxy-3,5-dimethoxycinnamoyl-(->2)-b-D-glucopyranosyl-(1->2)]-[4-hydroxy-3-methoxycinnamoyl-(->6)]-b-D-glucopyranoside] 5-O-(6-O-malonyl-b-D-glucopyranoside)","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
